Release,File,NAuth,NR,Age,Size,NFix,LOC_Added,ChgSetSize,Max_ChgSetSize,Avg_ChgSetSize,Buggy
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,1,0,0,0,0,0,0,0,0,Yes
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,1,0,0,299,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1,0,0,1657,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,1,0,0,327,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,1,0,0,287,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,1,0,0,1249,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,1,0,0,579,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,1,0,0,117,0,0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,1,0,0,93,0,0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,1,0,0,332,0,0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,1,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,1,0,0,304,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,1,0,0,489,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,1,0,0,1511,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,1,0,0,1703,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,1,0,0,67,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,1,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,1,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,1,0,0,257,0,0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,1,0,0,436,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,1,0,0,147,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,1,0,0,112,0,0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,1,0,0,2064,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,1,0,0,0,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,1,0,0,279,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,1,0,0,231,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,1,0,0,0,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,1,0,0,526,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,1,0,0,646,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,1,0,0,163,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,1,0,0,352,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,1,0,0,456,0,0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,1,0,0,85,0,0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,1,0,0,1192,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,1,0,0,1913,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,1,0,0,3351,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,1,0,0,650,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,1,0,0,138,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,1,0,0,126,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,1,0,0,130,0,0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,1,0,0,215,0,0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,1,0,0,115,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,1,0,0,242,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,1,0,0,526,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,1,0,0,327,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,1,0,0,347,0,0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,1,0,0,0,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,1,0,0,2524,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,1,0,0,0,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,1,0,0,176,0,0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,1,0,0,147,0,0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,1,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,1,0,0,550,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,1,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,1,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,1,0,0,0,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,1,0,0,81,0,0,0,0,0,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,1,0,0,182,0,0,0,0,0,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,1,0,0,323,0,0,0,0,0,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java,1,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java,1,0,0,0,0,0,0,0,0,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java,1,0,0,140,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java,1,0,0,853,0,0,0,0,0,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCacheTest.java,1,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java,1,0,0,430,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalAsyncLedgerOpsTest.java,1,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieFailureTest.java,1,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieReadWriteTest.java,1,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieRecoveryTest.java,1,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalLedgerDeleteTest.java,1,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerLayoutTest.java,1,0,0,0,0,0,0,0,0,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java,1,0,0,349,0,0,0,0,0,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestProtoVersions.java,1,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java,1,0,0,262,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java,1,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java,1,0,0,343,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java,1,0,0,378,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieJournalRollingTest.java,1,0,0,283,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java,1,0,0,1276,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java,1,0,0,100,0,0,0,0,0,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/CloseTest.java,1,0,0,96,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java,1,0,0,196,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConditionalSetTest.java,1,0,0,98,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConfigurationTest.java,1,0,0,78,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java,1,0,0,178,0,0,0,0,0,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerRecoveryTest.java,1,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LoopbackClient.java,1,0,0,0,0,0,0,0,0,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/NIOServerFactoryTest.java,1,0,0,0,0,0,0,0,0,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,1,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,1,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,1,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,1,0,0,0,0,0,0,0,0,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,1,0,0,0,0,0,0,0,0,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,1,0,0,0,0,0,0,0,0,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,1,0,0,0,0,0,0,0,0,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,1,0,0,0,0,0,0,0,0,Yes
